100 543
1 2 75
2 3 804
3 4 818
4 5 859
5 6 106
6 7 701
7 8 793
8 9 678
9 10 152
10 11 3
11 12 682
12 13 728
13 14 674
14 15 185
15 16 530
16 17 907
17 18 842
18 19 580
19 20 734
20 21 264
21 22 68
22 23 190
23 24 837
24 25 579
25 26 66
26 27 381
27 28 90
28 29 892
29 30 193
30 31 109
31 32 555
32 33 423
33 34 714
34 35 522
35 36 477
36 37 405
37 38 234
38 39 184
39 40 93
40 41 57
41 42 458
42 43 171
43 44 544
44 45 908
45 46 695
46 47 999
47 48 388
48 49 18
49 50 995
50 51 209
51 52 605
52 53 139
53 54 722
54 55 971
55 56 281
56 57 435
57 58 238
58 59 396
59 60 172
60 61 793
61 62 564
62 63 414
63 64 677
64 65 708
65 66 469
66 67 247
67 68 543
68 69 601
69 70 590
70 71 880
71 72 753
72 73 230
73 74 496
74 75 505
75 76 950
76 77 235
77 78 944
78 79 115
79 80 566
80 81 284
81 82 712
82 83 508
83 84 555
84 85 216
85 86 253
86 87 903
87 88 877
88 89 885
89 90 551
90 91 209
91 92 119
92 93 377
93 94 164
94 95 453
95 96 295
96 97 634
97 98 100
98 99 481
99 100 458
85 8 820
95 15 803
25 13 67
60 28 75
59 1 23
98 84 416
85 78 782
93 8 80
98 4 47
55 1 971
89 66 502
58 9 305
53 13 958
36 23 650
35 13 750
57 39 471
75 27 303
76 55 840
53 47 782
56 1 958
84 1 862
62 23 362
55 25 168
36 6 509
41 36 909
40 35 594
74 61 492
9 5 378
47 6 920
63 23 959
33 9 660
99 85 828
100 62 690
90 40 643
94 71 448
73 51 455
55 17 525
51 17 164
79 35 692
57 13 411
58 7 263
86 68 995
49 38 517
96 89 246
81 64 343
75 22 680
74 20 296
17 11 701
77 37 620
66 56 604
84 13 43
67 44 631
6 3 110
65 25 509
38 16 450
89 32 962
79 62 363
42 4 694
90 11 675
87 45 308
96 93 396
59 44 108
99 68 930
80 65 755
38 19 325
88 8 354
42 14 278
99 10 141
62 22 296
81 16 294
87 68 882
21 7 26
73 35 395
95 72 657
64 49 309
94 9 316
79 34 141
82 41 459
84 77 362
62 9 862
81 11 725
28 13 22
72 36 193
83 41 642
66 25 227
86 7 918
75 58 476
63 20 417
66 18 301
87 23 127
51 41 227
93 42 320
92 81 4
54 27 487
86 54 465
69 55 957
17 6 204
56 53 527
98 53 972
52 41 774
56 29 431
90 54 862
51 1 345
53 16 346
85 25 675
48 39 454
41 8 917
75 41 781
47 21 735
81 41 877
93 70 781
49 12 777
61 30 346
59 47 750
99 88 335
96 4 360
20 17 156
89 75 13
49 36 143
95 85 467
67 15 891
84 33 847
75 17 579
32 14 550
18 16 104
100 58 143
100 83 887
57 11 961
61 54 799
63 30 282
39 31 242
82 48 632
67 13 283
82 7 196
45 34 615
68 47 636
62 35 615
77 11 369
88 15 165
51 36 753
84 9 398
95 21 757
23 10 680
51 4 486
96 79 908
91 54 356
92 46 853
76 40 16
65 7 602
46 17 859
73 1 970
40 30 14
87 65 174
97 39 893
54 9 508
45 1 918
83 8 616
79 8 311
25 8 62
44 16 975
54 29 783
79 72 756
88 53 905
84 46 717
56 34 138
40 11 17
93 82 118
62 11 761
59 12 152
28 10 650
35 31 142
51 8 182
95 46 424
21 11 308
78 55 59
80 48 461
92 3 721
91 49 865
85 41 300
36 32 810
55 36 948
90 2 111
97 79 469
91 56 716
40 24 581
61 1 529
87 13 84
72 54 849
49 33 557
37 2 780
60 26 381
98 38 64
35 32 499
43 29 283
47 13 383
31 10 493
75 9 214
93 86 636
83 66 437
98 52 624
68 30 773
48 46 25
74 16 879
46 24 782
69 61 767
91 9 544
93 5 366
99 50 343
93 91 659
71 35 67
68 45 147
30 16 382
85 74 378
27 17 841
36 19 256
73 33 341
93 24 712
100 67 923
92 54 829
41 17 430
92 71 406
75 48 856
92 39 357
64 30 482
64 5 331
58 28 121
74 50 926
17 5 406
48 25 958
95 8 709
82 20 349
47 34 257
85 55 374
65 33 143
58 38 712
91 67 712
93 63 282
44 14 227
60 13 866
96 38 435
88 19 89
54 10 813
84 63 618
48 36 581
92 85 724
67 53 41
91 84 796
55 37 903
44 7 95
94 1 852
23 4 494
56 21 773
62 43 532
40 32 138
33 7 669
54 31 839
86 2 903
95 23 981
89 51 150
67 56 346
31 7 923
92 60 965
87 60 613
100 6 613
68 50 683
70 16 75
85 49 73
98 96 820
78 44 738
72 57 412
81 33 917
73 29 393
72 55 164
82 64 932
64 60 449
37 24 278
64 25 674
81 4 104
75 40 584
50 22 540
52 26 858
96 22 35
93 71 992
73 66 735
96 61 309
27 22 706
50 30 28
86 74 927
74 25 72
91 17 40
82 47 837
86 76 264
40 23 923
20 13 755
43 30 757
52 46 123
18 14 333
74 40 381
98 64 794
49 15 755
96 30 325
74 59 931
47 11 274
96 59 265
80 54 627
63 4 994
65 39 705
77 26 297
85 5 669
31 21 69
47 23 244
57 27 730
85 38 266
72 30 256
100 68 129
87 36 394
72 39 651
78 28 224
28 3 565
57 41 248
70 46 829
98 63 361
11 2 917
40 25 896
83 77 424
61 22 519
51 7 341
39 11 731
92 5 731
64 56 13
46 36 484
92 65 324
72 49 93
95 44 41
56 51 582
62 57 372
57 54 270
82 15 309
100 41 857
87 42 342
95 33 308
23 20 472
79 4 896
55 24 12
61 58 702
23 7 259
8 3 459
91 7 352
78 15 21
82 68 45
49 1 237
21 8 540
73 16 14
92 78 376
32 10 277
12 8 371
50 45 969
98 13 57
80 60 677
87 64 245
65 50 637
70 67 811
93 37 974
87 50 903
41 23 690
65 58 597
80 30 162
85 64 16
5 3 45
75 59 224
66 54 409
21 10 742
29 15 351
16 1 314
79 31 77
64 48 407
70 49 670
99 28 133
67 5 989
76 57 184
71 8 771
88 33 304
38 22 150
27 5 994
61 32 571
73 41 381
99 79 61
94 8 455
18 1 206
60 36 66
94 22 758
32 2 642
74 31 619
55 42 656
45 16 89
58 44 700
14 10 90
34 15 759
67 32 655
80 18 232
66 26 712
62 27 416
91 79 577
45 13 560
31 13 959
96 36 65
57 38 634
91 46 45
32 18 419
66 35 765
65 49 608
42 28 27
85 3 270
68 48 305
58 3 959
16 14 426
13 6 708
43 23 272
77 51 301
53 14 854
24 2 608
58 56 552
79 58 783
97 22 288
94 62 694
74 36 819
46 2 547
72 41 164
99 56 295
100 14 943
60 42 156
71 22 313
69 31 704
42 38 638
95 92 58
74 35 36
55 7 930
95 48 703
49 19 359
74 70 333
77 42 908
92 72 467
95 51 370
70 28 615
